Brand,Spec_Score,Model_Name,Series,Price,Price_Range,Utility,Processor_Brand,Core Configuration,Clock-speed,OS Type,RAM Type,Ram_Capacity(GB),Graphics_Brand,Display Size (Inches),Resolution Width,Resolution Height,PPI,Aspect Ratio,Weight(kg),Touchscreen,Screen_Protection,Colour(s),Outlier_Flag,Original_Brand
Acer,7.2,one 14 z8415,one,34990.0,Economy,Everyday Use,Intel,Quad Core,2.5,Windows,DDR4,16,Intel,14.0,1920,1080,157.35,1.78,1.49,No,Yes,Silver,0,Acer
HP,4.2,15fc0026au,15fc0026au,36990.0,Economy,Everyday Use,AMD,Quad Core,2.4,Windows,LPDDR5,8,AMD,15.6,1920,1080,141.21,1.78,1.75,No,Yes,Silver,0,HP
HP,5.1,15sfq5007tu,15sfq5007tu,37166.0,Economy,Everyday Use,Intel,Hexa Core,4.2,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.69,No,Yes,Silver,0,HP
Acer,8.0,predator helios neo 16 phn1671,predator,112980.0,Premium,Everyday Use,Intel,Octa Core,2.1,Windows,DDR5,16,NVIDIA,16.0,1920,1200,141.51,1.6,2.6,No,No,Black,0,Acer
Asus,5.4,tuf gaming f17 fx706hf,tuf,57990.0,Economy,Everyday Use,Intel,Hexa Core,2.7,Windows,DDR4,8,NVIDIA,17.3,1920,1080,127.34,1.78,2.6,No,Yes,Black,0,Asus
HP,8.1,15sfq5112tu,15sfq5112tu,62917.0,Mid-Range,Everyday Use,Intel,Deca Core,4.2,Windows,M3,16,Intel,15.6,1920,1080,141.21,1.78,1.69,No,Yes,Silver,0,HP
Asus,7.4,tuf gaming f15 fx506hf,tuf,52990.0,Economy,Everyday Use,Intel,Hexa Core,2.9,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.3,No,Yes,Black,0,Asus
HP,8.1,15sfq5330tu,15sfq5330tu,50990.0,Economy,Everyday Use,Intel,Deca Core,4.2,Windows,DDR4,16,Intel,15.6,1920,1080,141.21,1.78,1.69,No,Yes,Silver,0,HP
Samsung,6.1,galaxy book 2 np750xedkc1in 156,galaxy,49790.0,Economy,Everyday Use,Intel,Deca Core,4.2,Windows,LPDDR4X,8,Intel,15.6,1920,1080,141.21,1.78,1.81,No,Yes,Graphite,0,Samsung
Asus,5.6,vivobook 15 x1502za,vivobook,36990.0,Economy,Everyday Use,Intel,Hexa Core,1.2,Windows,DDR4,16,Intel,15.6,1920,1080,141.21,1.78,1.7,No,Yes,Silver,0,Asus
Asus,5.4,tuf gaming f15 fx506hf,tuf,48990.0,Economy,Everyday Use,Intel,Hexa Core,2.9,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.3,No,Yes,Black,0,Asus
HP,8.1,pavilion 14dv2014tu,pavilion,61990.0,Mid-Range,Ultrabook,Intel,Deca Core,4.2,Windows,DDR4,16,Intel,14.0,1920,1080,157.35,1.78,1.41,No,No,Silver,0,HP
HP,8.1,pavilion 14dv2153tu,pavilion,69999.0,Mid-Range,Ultrabook,Intel,Deca Core,4.2,Windows,DDR4,16,Intel,14.0,1920,1080,157.35,1.78,1.41,No,Yes,Silver,0,HP
HP,8.1,14s,14s,54990.0,Economy,Everyday Use,Intel,Deca Core,4.2,Windows,DDR4,16,Intel,14.0,1920,1080,157.35,1.78,1.41,Yes,Yes,Silver,0,HP
MSI,8.1,gf63 thin 11sc,gf63,46990.0,Economy,Everyday Use,Intel,Hexa Core,4.2,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,1.86,No,No,Black,0,MSI
Asus,5.2,vivobook 15 x515ea,vivobook,44990.0,Economy,Everyday Use,Intel,Quad Core,2.4,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.8,No,Yes,Silver,0,Asus
Asus,4.5,vivobook 15 x515ea,vivobook,33990.0,Economy,Everyday Use,Intel,Dual Core,3.0,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.8,No,Yes,Silver,0,Asus
Asus,7.2,vivobook 14 x1400ea,vivobook,44990.0,Economy,Everyday Use,Intel,Quad Core,2.4,Windows,DDR4,16,Intel,14.0,1920,1080,157.35,1.78,1.6,No,Yes,Black,0,Asus
HP,3.8,14sdy2508tu,14sdy2508tu,42600.0,Economy,Everyday Use,Intel,Dual Core,1.7,Windows,DDR4,8,Intel,14.0,1920,1080,157.35,1.78,1.41,No,Yes,Silver,0,HP
Infinix,5.7,inbook y1 plus xl28,inbook,25990.0,Budget,Everyday Use,Intel,Quad Core,3.4,Windows,LPDDR4X,8,Intel,15.6,1920,1080,141.21,1.78,1.76,No,Yes,Silver,0,Infinix
Acer,5.2,one 14 z8415,one,36999.0,Economy,Everyday Use,Intel,Quad Core,2.5,Windows,DDR4,8,Intel,14.0,1920,1080,157.35,1.78,1.49,No,Yes,Silver,0,Acer
HP,4.3,15seq1580au,15seq1580au,30400.0,Economy,Everyday Use,AMD,Dual Core,2.6,Windows,DDR4,8,AMD,15.6,1920,1080,141.21,1.78,1.7,No,Yes,Silver,0,HP
Other,5.2,nuvobook v1,nuvobook,26990.0,Budget,Everyday Use,Intel,Quad Core,2.5,Windows,DDR4,8,Intel,15.6,1920,1020,139.37,1.88,1.6,No,No,"Blue, Green, Silver",0,Wings
Lenovo,7.0,ideapad slim 1 15alc7,ideapad,40990.0,Economy,Everyday Use,AMD,Hexa Core,2.1,Windows,DDR4,16,AMD,15.6,1920,1080,141.21,1.78,1.65,No,Yes,Grey,0,Lenovo
Lenovo,6.0,ideapad slim 3,ideapad,36651.0,Economy,Everyday Use,AMD,Hexa Core,4.0,Windows,DDR4,8,AMD,15.6,1920,1080,141.21,1.78,1.65,No,Yes,Grey,0,Lenovo
Other,8.4,megabook t1,megabook,47999.0,Economy,Everyday Use,Intel,Quad Core,4.7,Windows,DDR4,16,Intel,15.6,1920,1080,141.21,1.78,1.48,No,No,Grey,0,Tecno
Acer,5.4,extensa ex21523,extensa,32990.0,Economy,Everyday Use,AMD,Quad Core,2.8,Windows,LPDDR5,8,AMD,15.6,1920,1080,141.21,1.78,1.78,No,No,Grey,0,Acer
Acer,5.6,aspire 7 a71576g,aspire,48990.0,Economy,Everyday Use,Intel,Hexa Core,3.3,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.1,No,No,Black,0,Acer
Lenovo,7.2,ideapad slim 3 15itl6,ideapad,40990.0,Economy,Everyday Use,Intel,Quad Core,2.5,Windows,DDR4,16,Intel,15.6,1920,1080,141.21,1.78,1.65,No,Yes,Grey,0,Lenovo
Dell,5.6,vostro 3420,vostro,48990.0,Economy,Everyday Use,Intel,Deca Core,3.3,Windows,DDR4,8,Intel,14.0,1920,1080,157.35,1.78,1.48,No,No,Black,0,Dell
HP,6.1,15sfy5007tu,15sfy5007tu,55490.0,Economy,Everyday Use,Intel,Deca Core,4.2,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.69,No,Yes,Silver,0,HP
Asus,3.6,vivobook 15 x1502za,vivobook,42990.0,Economy,Everyday Use,Intel,Deca Core,1.1,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.7,No,No,Blue,0,Asus
Acer,8.4,nitro v anv1551,nitro,76990.0,Mid-Range,Everyday Use,Intel,Hexa Core,4.7,Windows,DDR5,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.1,No,No,Black,0,Acer
Infinix,6.6,inbook x3 slim xl422,inbook,36990.0,Economy,Everyday Use,Intel,Deca Core,1.3,Windows,LPDDR4X,16,Intel,14.0,1920,1080,157.35,1.78,1.24,No,No,Blue,0,Infinix
Asus,6.1,vivobook 16x m1603qa,vivobook,49990.0,Economy,Everyday Use,AMD,Hexa Core,4.2,Windows,DDR4,8,AMD,16.0,1920,1200,141.51,1.6,1.88,No,Yes,Silver,0,Asus
Lenovo,6.6,yoga slim 6i 14iap8,yoga,64990.0,Mid-Range,Ultrabook,Intel,Deca Core,1.2,Windows,LPDDR5,16,Intel,14.0,2240,1400,188.68,1.6,1.35,No,Yes,Grey,0,Lenovo
Apple,3.0,macbook air m3 mrxv3hna ultrabook,macbook,114900.0,Premium,Ultrabook,Apple,Octa Core,2.03,Macos,M3,8,Apple,13.6,2560,1664,224.51,1.54,1.24,No,No,Black,0,Apple
Acer,4.3,one 14 z2493,one,28990.0,Budget,Everyday Use,AMD,Dual Core,2.6,Windows,DDR4,8,AMD,14.0,1366,768,111.94,1.78,1.5,No,No,Gold,0,Acer
Lenovo,5.0,ideapad 3 15itl6,ideapad,33900.0,Economy,Everyday Use,Intel,Dual Core,4.0,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.65,No,Yes,Grey,0,Lenovo
HP,8.1,pavilion 15eh2024au,pavilion,58790.0,Economy,Everyday Use,AMD,Hexa Core,4.2,Windows,DDR4,16,AMD,15.6,1920,1080,141.21,1.78,1.75,No,No,Silver,0,HP
HP,4.3,245 g8,245,26990.0,Budget,Everyday Use,AMD,Dual Core,2.6,Windows,DDR4,8,AMD,14.0,1366,768,111.94,1.78,1.47,No,Yes,Black,0,HP
MSI,6.1,gf63 thin 11sc,gf63,42990.0,Economy,Everyday Use,Intel,Hexa Core,4.2,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,1.8,No,No,Black,0,MSI
HP,2.4,chromebook 15ana0008tu,chromebook,20990.0,Budget,Everyday Use,Intel,Dual Core,2.8,Chrome,LPDDR4X,4,Intel,15.6,1366,768,100.45,1.78,1.69,No,Yes,"Mineral Silver Cover, Natural Silver Base And Keyboard Frame",0,HP
Lenovo,6.1,ideapad slim 5 14imh9,ideapad,81990.0,Mid-Range,Ultrabook,Intel,Deca Core,4.2,Windows,LPDDR5X,16,Intel,14.0,1920,1200,161.73,1.6,1.46,No,No,Grey,0,Lenovo
HP,9.1,14sfy1005au,14sfy1005au,60990.0,Mid-Range,Gaming,AMD,Octa Core,4.2,Windows,DDR4,16,AMD,14.0,1920,1080,157.35,1.78,1.46,No,Yes,Silver,0,HP
Acer,7.6,aspire 7 a71576g,aspire,54800.0,Economy,Everyday Use,Intel,Hexa Core,3.3,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.1,No,No,Black,0,Acer
HP,3.4,14s dq3032tu,14s,28490.0,Budget,Everyday Use,Intel,Dual Core,2.8,Windows,DDR4,8,Intel,14.0,1366,768,111.94,1.78,1.46,No,No,Black,0,HP
Asus,2.4,notebook 12 br1100cka,notebook,24999.0,Budget,Everyday Use,Intel,Dual Core,2.8,Windows,DDR4,4,Intel,11.6,1366,768,135.09,1.78,1.26,No,Yes,Grey,0,Asus
Infinix,6.6,inbook y4 max yl613,inbook,43990.0,Economy,Everyday Use,Intel,Deca Core,1.3,Windows,LPDDR4X,16,Intel,16.0,1920,1200,141.51,1.6,1.78,No,Yes,Blue,0,Infinix
Dell,7.6,g155520,g155520,71500.0,Mid-Range,Everyday Use,Intel,Hexa Core,3.3,Windows,DDR5,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.57,No,No,Grey,0,Dell
Asus,5.0,vivobook 15 x1500ea,vivobook,32840.0,Economy,Everyday Use,Intel,Dual Core,4.0,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.8,No,Yes,Silver,0,Asus
HP,1.6,chromebook 14ana0140nr,chromebook,43580.0,Economy,Personal,Intel,Dual Core,1.1,Chrome,LPDDR4,4,Intel,14.0,1366,768,111.94,1.78,1.46,Yes,No,White,0,HP
Asus,3.6,vivobook 15 x515ja,vivobook,30900.0,Economy,Everyday Use,Intel,Dual Core,1.2,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.8,No,Yes,Silver,0,Asus
Asus,9.4,tuf gaming a15 fa577rm,tuf,107850.0,Premium,Gaming,AMD,Octa Core,4.7,Windows,DDR5,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.2,No,Yes,Grey,0,Asus
Dell,4.5,inspiron 15 3511,inspiron,41000.0,Economy,Everyday Use,Intel,Dual Core,3.0,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.8,No,No,Silver,0,Dell
HP,3.4,14sdq3037tu,14sdq3037tu,28990.0,Budget,Everyday Use,Intel,Dual Core,2.8,Windows,DDR4,8,Intel,14.0,1366,768,111.94,1.78,1.46,No,No,Black,0,HP
