Name,Price,Performance,Design,Storage,Battery
Acer One 14 Z8-415 (UN.599SI.020) Laptop (Core i5 11th Gen/16 GB/512 GB SSD/Windows 11),"Rs.34,990","Core i5 11th Gen
16 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1080 pixels
1.49 Kg, 21.6 mm thick",512 GB SSD,"Li-Ion
2 Cell"
HP 15-fc0026AU (7L030PA) Laptop (AMD Quad Core Ryzen 3/8 GB/512 GB SSD/Windows 11),"Rs.34,990","AMD Quad Core Ryzen 3
2.4 Ghz
8 GB LPDDR5 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.75 Kg, 19.9 mm thick",512 GB SSD,"Li-Ion
3 Cell"
HP 15s-fq5007TU (67V50PA) Laptop (Core i3 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.35,990","Core i3 12th Gen
4.2 Ghz
8 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.69 Kg, 17.9 mm thick",512 GB SSD,"Li-Ion
3 Cell
10.45 Hrs"
Acer Predator Helios Neo 16 PHN16-71 (NH.QLTSI.006) Laptop (Core i7 13th Gen/16 GB/1 TB SSD/Windows 11/6 GB),"Rs.112,980","Core i7 13th Gen
16 GB DDR5 RAM
6 GB Graphics","16 inches (40.64 cm)
1920 x 1200 pixels
2.6 Kg, 26.5 mm thick",1 TB SSD,"Li-Ion
4 Cell"
Asus TUF Gaming F17 FX706HF-HX018W Laptop (Core i5 11th Gen/8 GB/512 GB SSD/Windows 11/4 GB),"Rs.57,990","Core i5 11th Gen
2.7 Ghz
8 GB DDR4 RAM
4 GB Graphics","17.3 inches (43.94 cm)
1920 x 1080 pixels
2.60 Kg, 24.8 mm thick",512 GB SSD,"Li-Ion
3 Cell"
HP 15s-fq5112TU (6Q2M3PA) Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11),"Rs.62,917","Core i5 12th Gen
4.2 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.69 Kg, 17.9 mm thick",512 GB SSD,"Li-Ion
3 Cell
10 Hrs"
Asus TUF Gaming F15 FX506HF-HN076W Laptop (Core i5 11th Gen/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.52,990","Core i5 11th Gen
2.9 Ghz
16 GB DDR4 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
2.30 Kg, 22.8 mm thick",512 GB SSD,"Li-Ion
3 Cell"
HP 15s-fq5330TU (9D3P0PA) Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11),"Rs.50,990","Core i5 12th Gen
4.2 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.69 Kg, 17.9 mm thick",512 GB SSD,"Li-Ion
3 Cell"
Samsung Galaxy Book 2 NP750XED-KC1IN 15.6 Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.49,900","Core i5 12th Gen
4.2 Ghz
8 GB LPDDR4X RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.81 Kg, 18.5 mm thick",512 GB SSD,"Li-Ion
4 Cell"
Asus VivoBook 15 X1502ZA-EJ993WS Laptop (Core i3 12th Gen/16 GB/512 GB SSD/Windows 11),"Rs.36,990","Core i3 12th Gen
1.2 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.70 Kg, 19.9 mm thick",512 GB SSD,"Li-Ion
3 Cell"
